ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
1383126377366,git,67521,W,4096,823787531,4030430,tmp_pack_YhEcHg
1383131627058,git,67521,W,4096,867123211,4368655,tmp_pack_YhEcHg
1383133377612,git,67521,W,4096,897691659,1091867,tmp_pack_YhEcHg
1383135314910,git,67521,W,4096,928985099,1260058,tmp_pack_YhEcHg
1383137518342,git,67521,W,4096,960774155,1501160,tmp_pack_YhEcHg
1383139019132,git,67521,W,4096,997830667,802635,tmp_pack_YhEcHg
1383139268208,git,67521,W,4096,1006989323,63850,tmp_pack_YhEcHg
1383140315719,git,67521,W,4096,1022058507,721159,tmp_pack_YhEcHg
1383141221746,git,67521,W,4096,1041453067,451380,tmp_pack_YhEcHg
1383146018866,git,67521,W,4096,1082609675,3894554,tmp_pack_YhEcHg
1383146128900,biosnoop,67318,W,4096,151552,906537,biosnoop.log
1383146128945,iotop,67048,W,459,128786,1049821,iotop.out
1383146175273,top,67021,W,4096,2100092,1333161,top-log.out
1383146175489,git,67521,W,4096,1082613771,156345,tmp_pack_YhEcHg
1383148925261,git,67521,W,4096,1212641291,1246,tmp_pack_YhEcHg
1383151119479,git,67521,W,4096,1314082827,1409,tmp_pack_YhEcHg
1383154878870,git,67521,W,4096,1348583435,3020612,tmp_pack_YhEcHg
1383157676052,git,67521,W,4096,1381670923,2060339,tmp_pack_YhEcHg
1383157925722,git,67521,W,4096,1393885195,1126,tmp_pack_YhEcHg
1383158519776,git,67521,W,4096,1403478027,385832,tmp_pack_YhEcHg
1383159425801,git,67521,W,4096,1425645579,451130,tmp_pack_YhEcHg
1383160926183,git,67521,W,4096,1463836683,809507,tmp_pack_YhEcHg
1383176180034,git,67521,W,4096,2201739275,1457,tmp_pack_YhEcHg
1383177427576,git,67521,W,4096,2243088395,481279,tmp_pack_YhEcHg
1383181068724,git,67521,W,4096,2281619467,2920811,tmp_pack_YhEcHg
1383184568989,git,67521,W,4096,2321489931,2727591,tmp_pack_YhEcHg
1383195069694,git,67521,W,4096,2368634891,9502981,tmp_pack_YhEcHg
1383200228991,git,67521,W,4096,2607042571,1145,tmp_pack_YhEcHg
1383206259408,git,67521,W,4096,2896490507,1068,tmp_pack_YhEcHg
1383211134149,git,67521,W,4096,3130249227,1887,tmp_pack_YhEcHg
1383214227193,git,67521,W,4096,3150299147,2648165,tmp_pack_YhEcHg
1383215119066,git,67521,W,4096,3194953739,1849,tmp_pack_YhEcHg
1383218986072,git,67521,W,4096,3376910347,1253,tmp_pack_YhEcHg
1383220292108,git,67521,W,4096,3445948427,2648,tmp_pack_YhEcHg
1383224451270,git,67521,W,4096,3646185483,7274,tmp_pack_YhEcHg
1383235776629,git,67521,W,4096,4208177163,1617,tmp_pack_YhEcHg
1383239681728,iotop,67048,W,832,177747,3486991,iotop.out
1383239681903,biosnoop,67318,W,4096,524288,3500106,biosnoop.log
1383239682029,top,67021,W,4096,2633423,3193981,top-log.out
1383239685496,git,67521,W,4096,4223692811,3557436,tmp_pack_YhEcHg
1383256980457,git,67521,W,4096,4764545035,5904237,tmp_pack_YhEcHg
1383257027050,nscd,67687,R,92,0,44305,host.conf
1383263980441,git,67521,W,4096,4807303179,6121953,tmp_pack_YhEcHg
1383279674300,git,67521,W,4096,5569159179,1614,tmp_pack_YhEcHg
1383305436440,iotop,67048,W,650,209202,9063928,iotop.out
1383305436521,top,67021,W,4096,2973136,8547417,top-log.out
1383305436974,biosnoop,67318,W,4096,847872,8703992,biosnoop.log
1383305438860,git,67521,W,4096,6339837963,9310694,tmp_pack_YhEcHg
1383305441039,git,67521,W,4096,6339846155,1419,tmp_pack_YhEcHg
1383305445514,git,67521,W,4096,6339854347,3823,tmp_pack_YhEcHg
1383306641471,git,67521,W,4096,6386819083,1122,tmp_pack_YhEcHg
1383310628035,git,67521,W,4096,6569308171,4219,tmp_pack_YhEcHg
1383310644047,git,67521,W,4096,6569619467,1464,tmp_pack_YhEcHg
1383311187776,git,67521,W,4096,6594412555,1245,tmp_pack_YhEcHg
1383313689523,git,67521,W,4096,6712369163,1219,tmp_pack_YhEcHg
1383319188998,git,67521,W,4096,6964285451,1897,tmp_pack_YhEcHg
1383322976037,git,67521,W,4096,7146606603,6123,tmp_pack_YhEcHg
1383332485524,git,67521,W,4096,7301939211,6400032,tmp_pack_YhEcHg
1383332488884,nscd,67754,R,92,0,5547676,host.conf
1383335985233,git,67521,W,4096,7337168907,2729358,tmp_pack_YhEcHg
1383336096428,iotop,67048,W,311,226677,277470,iotop.out
1383336096484,biosnoop,67318,W,4096,1073152,313944,biosnoop.log
1383336189113,git,67521,W,4096,7337173003,203485,tmp_pack_YhEcHg
1383336188873,top,67021,W,4096,3150474,650446,top-log.out
1383339485955,git,67521,W,4096,7364681739,2726507,tmp_pack_YhEcHg
1383343142342,git,67521,W,4096,7391973387,2924739,tmp_pack_YhEcHg
1383346783347,git,67521,W,4096,7419707403,2918122,tmp_pack_YhEcHg
1383352293342,git,67521,W,4096,7577223179,1346,tmp_pack_YhEcHg
1383353489982,git,67521,W,4096,7631867915,1741,tmp_pack_YhEcHg
1383362191830,git,67521,W,4096,8035917835,1650,tmp_pack_YhEcHg
1383365440674,git,67521,W,4096,8183250955,11275,tmp_pack_YhEcHg
1383366487635,iotop,67048,W,773,242804,40711,iotop.out
1383366487938,biosnoop,67318,W,4096,1163264,343980,biosnoop.log
1383366488502,top,67021,W,4096,3327320,212461,top-log.out
1383366489103,git,67521,W,4096,8209203211,393000,tmp_pack_YhEcHg
1383369237605,git,67521,W,4096,8283987979,1200773,tmp_pack_YhEcHg
1383372737835,git,67521,W,4096,8318078987,2778809,tmp_pack_YhEcHg
1383376192190,git,67521,W,4096,8355872779,2681103,tmp_pack_YhEcHg
1383379692504,git,67521,W,4096,8391196683,2724619,tmp_pack_YhEcHg
1383383191781,git,67521,W,4096,8425451531,2767789,tmp_pack_YhEcHg
1383386692225,git,67521,W,4096,8463265803,2710886,tmp_pack_YhEcHg
1383390192928,git,67521,W,4096,8499748875,2709162,tmp_pack_YhEcHg
1383390597477,git,67521,W,4096,8519135243,1477,tmp_pack_YhEcHg
1383394193732,git,67521,W,4096,8680001547,1286,tmp_pack_YhEcHg
1383398833540,git,67521,W,4096,8765018123,2754142,tmp_pack_YhEcHg
1383398990314,ip,67830,R,31,0,1198804,group
1383399037002,iotop,67048,W,533,260175,2191128,iotop.out
1383399037379,biosnoop,67318,W,4096,1310720,2750534,biosnoop.log
1383399038430,top,67021,W,4096,3504330,2445209,top-log.out
1383399041604,git,67521,W,4096,8765022219,207598,tmp_pack_YhEcHg
1383402333742,git,67521,W,4096,8791261195,2702037,tmp_pack_YhEcHg
1383405990436,git,67521,W,4096,8825180171,2903097,tmp_pack_YhEcHg
1383406312273,git,67521,W,4096,8834060299,104009,tmp_pack_YhEcHg
1383412374918,git,67521,W,4096,9098162187,1096,tmp_pack_YhEcHg
1383422849718,git,67521,W,4096,9578967051,1016,tmp_pack_YhEcHg
1383425038483,git,67521,W,4096,9636581387,878526,tmp_pack_YhEcHg
1383426359839,git,67521,W,4096,9689022475,6263,tmp_pack_YhEcHg
1383429039057,git,67521,W,4096,9719726091,1979679,tmp_pack_YhEcHg
1383429152631,biosnoop,67318,W,4096,1413120,3769,biosnoop.log
1383429196043,top,67021,W,4096,3681340,50536,top-log.out
1383429196132,git,67521,W,4096,9719730187,156768,tmp_pack_YhEcHg
1383432538998,git,67521,W,4096,9750245387,2723559,tmp_pack_YhEcHg
1383436195611,git,67521,W,4096,9784958987,2922161,tmp_pack_YhEcHg
1383443149290,git,67521,W,4096,9825591307,6063684,tmp_pack_YhEcHg
1383443520050,git,67521,W,4096,9841397771,6079,tmp_pack_YhEcHg
1383446649631,git,67521,W,4096,9861758987,2706583,tmp_pack_YhEcHg
1383448060260,git,67521,W,4096,9926852619,1493,tmp_pack_YhEcHg
1383453447035,git,67521,W,4096,10130309131,595077,tmp_pack_YhEcHg
1383456047281,git,67521,W,4096,10139934731,1804986,tmp_pack_YhEcHg
1383456494340,git,67521,W,4096,10157670411,93448,tmp_pack_YhEcHg
1383456626023,git,67521,W,4096,10163687435,6345,tmp_pack_YhEcHg
1383456928838,git,67521,W,4096,10179604491,2331,tmp_pack_YhEcHg
1383459994040,git,67521,W,4096,10195333131,2727356,tmp_pack_YhEcHg
1383460089277,biosnoop,67318,W,4096,1572864,751333,biosnoop.log
1383460090887,iotop,67048,W,585,293957,373636,iotop.out
1383460150370,top,67021,W,4096,3862446,846737,top-log.out
1383460150267,git,67521,W,4096,10195337227,155889,tmp_pack_YhEcHg
1383462780422,git,67521,R,125,61956,1037,tmp_pack_YhEcHg
1383462834278,git,67521,R,140,18873282,1200,tmp_pack_YhEcHg
1383462900688,git,67521,R,83,31057765,17272,tmp_pack_YhEcHg
1383462900863,git,67521,R,146,31064206,17389,tmp_pack_YhEcHg
1383462912634,git,67521,R,143,32557187,1089,tmp_pack_YhEcHg
1383462928276,git,67521,R,106,36964300,1111,tmp_pack_YhEcHg
1383462989572,git,67521,R,275,50745145,1070,tmp_pack_YhEcHg
1383463041348,git,67521,R,113,62111127,1486,tmp_pack_YhEcHg
1383463041474,git,67521,R,96,62354031,1441,tmp_pack_YhEcHg
1383463087940,git,67521,R,111,71803725,4860,tmp_pack_YhEcHg
1383463088174,git,67521,R,113,71833590,5152,tmp_pack_YhEcHg
1383463103652,git,67521,R,99,74295426,1297,tmp_pack_YhEcHg
1383463103752,git,67521,R,101,74299073,1452,tmp_pack_YhEcHg
1383463111124,git,67521,R,100,75114954,1679,tmp_pack_YhEcHg
1383463111353,git,67521,R,97,75109711,1829,tmp_pack_YhEcHg
1383463114034,git,67521,R,103,75304213,1812,tmp_pack_YhEcHg
1383463114163,git,67521,R,100,75308101,1899,tmp_pack_YhEcHg
1383463150469,git,67521,R,92,77445742,25678,tmp_pack_YhEcHg
1383463150814,git,67521,R,112,77499072,25944,tmp_pack_YhEcHg
1383463171746,git,67521,R,113,81772414,5151,tmp_pack_YhEcHg
1383463199924,git,67521,R,109,90738945,1604,tmp_pack_YhEcHg
1383463201599,git,67521,R,96,90804631,1977,tmp_pack_YhEcHg
1383463244604,git,67521,R,129,102151195,3325,tmp_pack_YhEcHg
1383463244854,git,67521,R,127,102149639,3612,tmp_pack_YhEcHg
1383463246920,git,67521,R,99,102307577,1727,tmp_pack_YhEcHg
1383463248422,git,67521,R,95,102486729,1258,tmp_pack_YhEcHg
1383463340068,git,67521,R,95,127722673,1172,tmp_pack_YhEcHg
1383463340159,git,67521,R,75,127700113,1322,tmp_pack_YhEcHg
1383463344317,git,67521,R,89,128220148,1016,tmp_pack_YhEcHg
1383463344399,git,67521,R,86,128202090,1312,tmp_pack_YhEcHg
1383463358832,git,67521,R,231,129942631,1265,tmp_pack_YhEcHg
1383463358915,git,67521,R,73,129972841,1393,tmp_pack_YhEcHg
1383463373435,git,67521,R,82,131009676,1747,tmp_pack_YhEcHg
1383463375240,git,67521,R,126,131236207,1283,tmp_pack_YhEcHg
1383463400405,git,67521,R,80,132275767,17098,tmp_pack_YhEcHg
1383463400535,git,67521,R,93,132287184,17177,tmp_pack_YhEcHg
1383463403478,git,67521,R,90,132338778,2394,tmp_pack_YhEcHg
